Sample	Accession	familyID	Subpopulation	Superpopulation	Production Year
NA20805	SAMN33621962		TSI	EUR	YR3
HG03792	SAMN37797112		ITU	SAS	YR4
NA20858	SAMN37797095		GIH	SAS	YR4
HG00099	SAMN33758778		GBR	EUR	YR3
HG00280	SAMN33758779		FIN	EUR	YR3
NA20752	SAMN33758800		TSI	EUR	YR3
NA20905	SAMN33758801		GIH	SAS	YR3
HG01530	SAMN37797099		IBS	EUR	YR3
HG01784	SAMN37797100		IBS	EUR	YR3
NA20799	SAMN37797094		TSI	EUR	YR3
HG03742	SAMN37797111		ITU	SAS	YR3
NA19043	SAMN33758799		LWK	AFR	YR3
NA19120	SAMN37797088	Y060	YRI	AFR	YR4
NA19909	SAMN41021607		ASW	AFR	YR4
NA20282	SAMN41021608		ASW	AFR	YR4
NA20346	SAMN41021609		ASW	AFR	YR4
NA19776	SAMN41021610		MXL	AMR	YR4
NA19682	SAMN41021611		MXL	AMR	YR4
NA19700	SAMN41021612		ASW	AFR	YR4
NA19390	SAMN41021613		LWK	AFR	YR4
NA19175	SAMN41021614	Y044	YRI	AFR	YR4
HG02392	SAMN41021615		CDX	EAS	YR4
HG00867	SAMN41021616		CDX	EAS	YR4
HG02178	SAMN41021617		CDX	EAS	YR4
NA18620	SAMN41021618		CHB	EAS	YR4
NA18608	SAMN41021619		CHB	EAS	YR4
NA18974	SAMN41021620		JPT	EAS	YR4
NA18952	SAMN41021621		JPT	EAS	YR4
NA18976	SAMN41021622		JPT	EAS	YR4
NA20870	SAMN41021623		GIH	SAS	YR4
NA21110	SAMN41021624		GIH	SAS	YR4
HG03874	SAMN41021625		ITU	SAS	YR4
NA18508	SAMN41021626		YRI	AFR	YR4
NA21093	SAMN41021627		GIH	SAS	YR4
HG03611	SAMN41021628		BEB	SAS	YR4
NA21106	SAMN41021629		GIH	SAS	YR4
NA20503	SAMN41021630		TSI	EUR	YR4
HG03270	SAMN41021631		ESN	AFR	YR4
HG00320	SAMN41021632		FIN	EUR	YR4
HG01786	SAMN41021633		IBS	EUR	YR4
HG00146	SAMN41021634		GBR	EUR	YR4
HG00232	SAMN41021635		GBR	EUR	YR4
HG00321	SAMN41021636		FIN	EUR	YR4
HG00126	SAMN41021637		GBR	EUR	YR4
HG00133	SAMN41021638		GBR	EUR	YR4
HG00290	SAMN41021639		FIN	EUR	YR4
NA19443	SAMN41021640		LWK	AFR	YR4
HG00128	SAMN41021641		GBR	EUR	YR4
NA19036	SAMN41021642		LWK	AFR	YR4
NA18505	SAMN41021643	Y005	YRI	AFR	YR4
HG00243	SAMN41021644		GBR	EUR	YR4
HG03583	SAMN41021645	SL73	MSL	AFR	YR4
HG00329	SAMN41021646		FIN	EUR	YR4
HG03784	SAMN41021647		ITU	SAS	YR4
NA20806	SAMN41021648		TSI	EUR	YR4
NA21144	SAMN41021649		GIH	SAS	YR4
NA20827	SAMN41021650		TSI	EUR	YR4
HG03521	SAMN41021651	NG109	ESN	AFR	YR4
NA20762	SAMN41021652		TSI	EUR	YR4
HG00344	SAMN41021653		FIN	EUR	YR4
HG00350	SAMN41021654		FIN	EUR	YR4
NA20357	SAMN41021655	2494	ASW	AFR	YR4
HG03572	SAMN41021656		MSL	AFR	YR4
HG02583	SAMN41021657	GB23	GWD	AFR	YR4
NA20287	SAMN41021658	2470	ASW	AFR	YR4
HG00272	SAMN41021659		FIN	EUR	YR4
HG00097	SAMN41021660		GBR	EUR	YR4
NA18879	SAMN41021661		YRI	AFR	YR4
HG01766	SAMN41021662		IBS	EUR	YR4
NA18871	SAMN41021663		YRI	AFR	YR4
NA20850	SAMN41021664		GIH	SAS	YR4
NA19835	SAMN41021665		ASW	AFR	YR4
HG00253	SAMN41021666		GBR	EUR	YR4
HG00235	SAMN41021667		GBR	EUR	YR4
