	1_submitter_columns
0	filename
1	sample_ID
2	path
3	filetype
4	library_ID
5	library_strategy
6	library_source
7	library_selection
8	library_layout
9	platform
10	instrument_model
11	design_description
12	data_type
13	shear_method
14	size_selection
15	seq_kit
16	basecaller
17	basecaller_version
18	basecaller_model
19	generator_facility
20	generator_contact
