	1_submitter_columns
0	filename
1	sample_ID
2	library_ID
3	library_strategy
4	library_source
5	library_selection
6	library_layout
7	platform
8	instrument_model
9	design_description
10	data_type
11	shear_method
12	size_selection
13	DeepConsensus_version
14	polymerase_version
15	seq_plate_chemistry_version
16	generator_facility
17	generator_contact
