familyID	Sex	Subpopulation	Superpopulation	Production Year	collection_date	Sample	Accession
PK26	male	PJL	SAS	YR3	2021-03-09	HG02735	SAMN33758787
BB46	female	ACB	AFR	YR3	2021-03-09	HG02451	SAMN33758786
PEL013	male	PEL	AMR	YR2	2021-03-16	HG01934	SAMN26237498
SH058	female	CHS	EAS	YR3	2021-03-16	HG00597	SAMN33621944
VN046	male	KHV	EAS	YR3	2021-03-16	HG02015	SAMN33621948
CLM17	male	CLM	AMR	YR3	2021-03-16	HG01261	SAMN33621946
PEL25	female	PEL	AMR	YR3	2021-03-16	HG01975	SAMN33621947
SH002	female	CHS	EAS	YR3	2021-03-16	HG00408	SAMN33621943
VN060	male	KHV	EAS	YR3	2021-03-23	HG02056	SAMN33621949
PR40	male	PUR	AMR	YR3	2021-03-23	HG01192	SAMN33621945
BD28	female	BEB	SAS	YR3	2021-03-23	HG03834	SAMN33621958
BB22	male	ACB	AFR	YR3	2021-03-23	HG02258	SAMN33621952
VN079	male	KHV	EAS	YR3	2021-03-23	HG02129	SAMN33621950
PR18	male	PUR	AMR	YR3	2021-06-02	HG01074	SAMN33758782
GB110	female	GWD	AFR	YR3	2021-06-02	HG03041	SAMN33758790
PR03	female	PUR	AMR	YR3	2021-06-02	HG00639	SAMN33758781
PR21	female	PUR	AMR	YR3	2021-06-02	HG01081	SAMN33758783
PK41	female	PJL	SAS	YR3	2021-06-02	HG03239	SAMN33758794
PK35	male	PJL	SAS	YR3	2021-06-02	HG03017	SAMN33758789
BB11	female	ACB	AFR	YR3	2021-03-16	HG01960	SAMN37797102
GB74	female	GWD	AFR	YR3	2021-03-16	HG02841	SAMN37797106
GB97	male	GWD	AFR	YR3	2021-03-16	HG02984	SAMN37797107
GB113	male	GWD	AFR	YR3	2021-06-02	HG03050	SAMN37797108
PEL015	female	PEL	AMR	YR3	2021-06-02	HG01940	SAMN37797101
VN087	male	KHV	EAS	YR3	2021-06-02	HG02514	SAMN37797105
SH074	male	CHS	EAS	YR3	2021-06-02	HG00658	SAMN37797096
CLM12	female	CLM	AMR	YR3	2021-06-02	HG01150	SAMN37797097
PEL023	female	PEL	AMR	YR3	2021-06-02	HG01969	SAMN37797103
CLM14	male	CLM	AMR	YR3	2021-10-21	HG01252	SAMN37797098
SH045	female	CHS	EAS	YR3	2021-10-21	HG00558	SAMN33758780
PEL46	female	PEL	AMR	YR3	2021-10-21	HG02273	SAMN33621953
	male	MSL	AFR	YR3	2022-03-01	HG03225	SAMN33621957
NG20	male	ESN	AFR	YR3	2022-03-01	HG02965	SAMN33621954
NG24	female	ESN	AFR	YR3	2022-03-01	HG02976	SAMN33621955
NG58	female	ESN	AFR	YR3	2022-03-01	HG03195	SAMN33621956
	male	ESN	AFR	YR3	2022-03-15	HG03139	SAMN33758792
NG36	male	ESN	AFR	YR3	2022-03-15	HG03130	SAMN33758791
	male	MSL	AFR	YR3	2022-03-15	HG03209	SAMN33758793
Y016	male	YRI	AFR	YR3	2022-03-15	NA18522	SAMN33758796
	female	LWK	AFR	YR3	2022-04-05	NA19338	SAMN37797091
	female	LWK	AFR	YR3	2022-03-30	NA19391	SAMN37797092
	female	LWK	AFR	YR3	2022-03-30	NA19468	SAMN37797093
SL56	female	MSL	AFR	YR3	2022-03-30	HG03470	SAMN37797110
	female	MSL	AFR	YR3	2022-03-30	HG03458	SAMN37797109
	male	JPT	EAS	YR3	2022-04-12	NA18971	SAMN33621961
	female	CDX	EAS	YR3	2022-04-12	HG02155	SAMN33621951
	male	CHB	EAS	YR3	2022-04-12	NA18612	SAMN33621960
	male	GBR	EUR	YR3	2022-04-26	HG00140	SAMN33621941
	female	FIN	EUR	YR3	2022-04-19	HG00323	SAMN33621942
NG06	female	ESN	AFR	YR3	2022-04-26	HG02922	SAMN33758788
	female	CDX	EAS	YR3	2022-04-26	HG02165	SAMN33758785
	male	JPT	EAS	YR3	2022-04-26	NA18983	SAMN33758798
	male	KHV	EAS	YR3	2022-04-27	HG02040	SAMN33758784
	male	CHB	EAS	YR3	2022-04-26	NA18747	SAMN33758797
Y056	female	YRI	AFR	YR3	2022-05-10	NA19159	SAMN37797089
Y039	female	YRI	AFR	YR3	2022-05-10	NA19185	SAMN37797090
	male	CDX	EAS	YR3	2022-05-10	HG02391	SAMN37797104
	female	CHB	EAS	YR3	2022-05-10	NA18570	SAMN37797086
	female	JPT	EAS	YR3	2022-05-10	NA19087	SAMN37797087
	male	TSI	EUR	YR3	2022-05-24	NA20805	SAMN33621962
	male	ITU	SAS	YR4	2022-05-24	HG03792	SAMN37797112
	male	GIH	SAS	YR4	2022-05-24	NA20858	SAMN37797095
	female	GBR	EUR	YR3	2022-05-24	HG00099	SAMN33758778
	male	FIN	EUR	YR3	2022-06-08	HG00280	SAMN33758779
	male	TSI	EUR	YR3	2022-06-08	NA20752	SAMN33758800
	male	GIH	SAS	YR3	2022-06-21	NA20905	SAMN33758801
	male	IBS	EUR	YR3	2022-06-08	HG01530	SAMN37797099
	female	IBS	EUR	YR3	2022-06-08	HG01784	SAMN37797100
	female	TSI	EUR	YR3	2022-06-21	NA20799	SAMN37797094
	male	ITU	SAS	YR3	2022-06-21	HG03742	SAMN37797111
	male	LWK	AFR	YR3	2022-06-21	NA19043	SAMN33758799
Y060	male	YRI	AFR	YR4	2022-06-21	NA19120	SAMN37797088
	female	ASW	AFR	YR4	2022-10-04	NA19909	
	female	ASW	AFR	YR4	2022-10-04	NA20282	
	male	ASW	AFR	YR4	2022-10-04	NA20346	
	female	MXL	AMR	YR4	2022-10-04	NA19776	
	male	MXL	AMR	YR4	2022-09-27	NA19682	
	male	ASW	AFR	YR4	2022-09-27	NA19700	
	female	LWK	AFR	YR4	2022-09-27	NA19390	
Y044	male	YRI	AFR	YR4	2022-09-27	NA19175	
	male	CDX	EAS	YR4	2022-09-27	HG02392	
	female	CDX	EAS	YR4	2022-10-11	HG00867	
	female	CDX	EAS	YR4	2022-10-11	HG02178	
	male	CHB	EAS	YR4	2022-10-11	NA18620	
	male	CHB	EAS	YR4	2022-10-11	NA18608	
	male	JPT	EAS	YR4	2022-10-11	NA18974	
	male	JPT	EAS	YR4	2022-10-25	NA18952	
	female	JPT	EAS	YR4	2022-10-25	NA18976	
	male	GIH	SAS	YR4	2022-10-25	NA20870	
	female	GIH	SAS	YR4	2022-10-25	NA21110	
	female	ITU	SAS	YR4	2022-10-25	HG03874	
	female	YRI	AFR	YR4	2023-02-07	NA18508	
	male	GIH	SAS	YR4	2023-02-07	NA21093	
	female	BEB	SAS	YR4	2023-02-07	HG03611	
	female	GIH	SAS	YR4	2023-02-07	NA21106	
	female	TSI	EUR	YR4	2023-02-21	NA20503	
	female	ESN	AFR	YR4	2023-02-21	HG03270	
	female	FIN	EUR	YR4	2023-04-04	HG00320	
	female	IBS	EUR	YR4	2023-04-04	HG01786	
	female	GBR	EUR	YR4	2023-04-04	HG00146	
	female	GBR	EUR	YR4	2023-04-04	HG00232	
	male	FIN	EUR	YR4	2023-04-04	HG00321	
	male	GBR	EUR	YR4	2023-04-18	HG00126	
	female	GBR	EUR	YR4	2023-04-18	HG00133	
	male	FIN	EUR	YR4	2023-04-18	HG00290	
	male	LWK	AFR	YR4	2023-04-18	NA19443	
	female	GBR	EUR	YR4	2023-04-18	HG00128	
	female	LWK	AFR	YR4	2023-05-02	NA19036	
Y005	female	YRI	AFR	YR4	2023-05-02	NA18505	
	male	GBR	EUR	YR4	2023-05-02	HG00243	
SL73	female	MSL	AFR	YR4	2023-05-02	HG03583	
	male	FIN	EUR	YR4	2023-05-15	HG00329	
	female	ITU	SAS	YR4	2023-05-15	HG03784	
	male	TSI	EUR	YR4	2023-05-15	NA20806	
	female	GIH	SAS	YR4	2023-05-15	NA21144	
	male	TSI	EUR	YR4	2023-05-15	NA20827	
NG109	male	ESN	AFR	YR4	2023-05-23	HG03521	
	male	TSI	EUR	YR4	2023-05-23	NA20762	
	female	FIN	EUR	YR4	2023-05-23	HG00344	
	female	FIN	EUR	YR4	2023-05-23	HG00350	
2494	female	ASW	AFR	YR4	2023-02-07	NA20357	
	female	MSL	AFR	YR4	2023-01-24	HG03572	
GB23	female	GWD	AFR	YR4	2023-01-24	HG02583	
2470	female	ASW	AFR	YR4	2023-01-24	NA20287	
	female	FIN	EUR	YR4	2023-06-05	HG00272	
	female	GBR	EUR	YR4	2023-06-05	HG00097	
		YRI	AFR	YR4	2023-06-07	NA18879	
		IBS	EUR	YR4	2023-06-28	HG01766	
		YRI	AFR	YR4	2023-07-05	NA18871	
		GIH	SAS	YR4	2023-06-05	NA20850	
		ASW	AFR	YR4	2023-06-13	NA19835	
		GBR	EUR	YR4	2023-06-13	HG00253	
		GBR	EUR	YR4	2023-06-13	HG00235	
		ESN	AFR	YR4	2023-06-13	HG03369	
		CHB	EAS	YR4	2023-06-27	NA18565	
		TSI	EUR	YR4	2023-07-11	NA20818	
		TSI	EUR	YR4	2023-06-27	NA20809	
		GIH	SAS	YR4	2023-06-27	NA21102	
		MSL	AFR	YR4	2023-07-11	HG03457	
		CDX	EAS	YR4	2023-07-11	HG01028	
		ITU	SAS	YR4	2023-07-11	HG03778	
		GBR	EUR	YR4	2023-07-11	HG00258	
		ESN	AFR	YR4	2023-07-11	HG03136	
		CHS	EAS	YR4	2023-07-18	HG00662	
		PUR	AMR	YR4	2023-07-18	HG01167	
		YRI	AFR	YR4	2023-07-18	NA19131	
		BEB	SAS	YR4	2023-07-18	HG04153	
		YRI	AFR	YR4	2023-07-25	NA19099	
		ESN	AFR	YR4	2023-07-26	HG03343	
		ACB	AFR	YR4	2023-08-01	HG01894	
		ASW	AFR	YR4	2023-07-25	NA19834	
		ESN	AFR	YR4	2023-08-01	HG03103	
		PUR	AMR	YR4	2023-08-01	HG01048	
		YRI	AFR	YR4	2023-08-01	NA19190	
		ITU	SAS	YR4	2023-08-01	HG04225	
		JPT	EAS	YR4	2023-08-01	NA19012	
		GWD	AFR	YR4	2023-08-08	HG02624	
		STU	SAS	YR4	2023-08-08	HG03672	
		ESN	AFR	YR4	2023-08-08	HG03372	
		ESN	AFR	YR4	2023-08-08	HG03108	
		ASW	AFR	YR4	2023-08-08	NA19703	
		GBR	EUR	YR4	2023-08-15	HG00106	
		GBR	EUR	YR4	2023-08-15	HG00117	
		CDX	EAS	YR4	2023-08-15	HG01798	
		BEB	SAS	YR4	2023-08-15	HG03919	
		MSL	AFR	YR4	2023-08-15	HG03388	
		LWK	AFR	YR4	2023-08-22	NA19042	
		CHS	EAS	YR4	2023-09-12	HG00701	
		MSL	AFR	YR4	2023-09-12	HG03072	
		MSL	AFR	YR4	2023-09-12	HG03445	
