log	filename	manifest	status	throughput
slurm-9721724_138.out	HG00280.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam	./manifest_9721724_138.csv	1	
slurm-9721724_139.out	HG03239.lymph.m84081_240719_223349_s3-m84081_240720_003316_s4.flnc.bam	./manifest_9721724_139.csv	0	64.1MiB/s
slurm-9721724_13.out	HG03209.lymph.m84081_240721_102523_s4-m84081_240721_082556_s3.flnc.bam	./manifest_9721724_13.csv	0	79.6MiB/s
slurm-9721724_140.out	HG00099.lymph.m84081_240722_230051_s3-m84081_240723_010018_s4.flnc.bam	./manifest_9721724_140.csv	1	
slurm-9721724_141.out	HG02976.lymph.m84081_240531_190112_s1.flnc.bam	./manifest_9721724_141.csv	1	
slurm-9721724_142.out	HG01099.lymph.m84081_240715_195907_s2-m84081_240715_215836_s1.flnc.bam	./manifest_9721724_142.csv	0	66.2MiB/s
slurm-9721724_143.out	HG00738.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	./manifest_9721724_143.csv	0	62.1MiB/s
slurm-9721724_144.out	HG04184.lymph.m84081_240717_055117_s2-m84081_240717_075054_s1.flnc.bam	./manifest_9721724_144.csv	0	86.0MiB/s
slurm-9721724_145.out	NA20827.lymph.m84203_240913_222952_s1-m84203_240914_002916_s2.flnc.bam	./manifest_9721724_145.csv	0	87.6MiB/s
slurm-9721724_146.out	HG00232.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	./manifest_9721724_146.csv	0	84.6MiB/s
slurm-9721724_147.out	HG01786.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	./manifest_9721724_147.csv	0	86.5MiB/s
slurm-9721724_148.out	HG01255.lymph.m84081_240712_233953_s3-m84081_240714_053249_s2.flnc.bam	./manifest_9721724_148.csv	0	88.5MiB/s
slurm-9721724_149.out	HG02841.lymph.m84081_240719_183458_s2-m84081_240719_203427_s1.flnc.bam	./manifest_9721724_149.csv	0	84.6MiB/s
slurm-9721724_14.out	HG00146.lymph.m84081_240728_071012_s1-m84081_240728_051033_s2.flnc.bam	./manifest_9721724_14.csv	0	86.8MiB/s
slurm-9721724_150.out	HG02015.lymph.m84081_240715_235807_s3-m84081_240716_015737_s4.flnc.bam	./manifest_9721724_150.csv	0	70.9MiB/s
slurm-9721724_151.out	NA20809.lymph.m84203_241028_200231_s4-m84203_241028_220156_s1.flnc.bam	./manifest_9721724_151.csv	0	86.2MiB/s
slurm-9721724_152.out	NA18747.lymph.m84081_240726_211757_s1-m84081_240726_191837_s2.flnc.bam	./manifest_9721724_152.csv	0	73.7MiB/s
slurm-9721724_153.out	HG03583.lymph.m84081_240728_110915_s4-m84081_240728_090940_s3.flnc.bam	./manifest_9721724_153.csv	1	
