log	filename	manifest	status	throughput
s3_transfer_9714009_100.log	08_10_21_R941_HG00642_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_100.csv	0	89.3MiB/s
s3_transfer_9714009_101.log	HG03098_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_101.csv	0	36.2MiB/s
s3_transfer_9714009_102.log	05_24_22_R941_GM19338_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_102.csv	0	79.5MiB/s
s3_transfer_9714009_103.log	03_14_23_R941_HG03540_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_103.csv	0	43.2MiB/s
s3_transfer_9714009_104.log	11_28_23_R1041_HPRC_HG01786_1_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	./manifest_9714009_104.csv	0	86.1MiB/s
s3_transfer_9714009_105.log	06_14_22_R941_HG02109_NEB300_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_105.csv	0	40.6MiB/s
s3_transfer_9714009_106.log	09_08_21_R941_HG01192_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_106.csv	0	82.3MiB/s
s3_transfer_9714009_107.log	08_17_21_R941_HG01943_1_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_107.csv	0	48.1MiB/s
s3_transfer_9714009_108.log	08_10_21_R941_HG03927_1_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_108.csv	0	78.8MiB/s
s3_transfer_9714009_109.log	HG01928_PAM34944_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_109.csv	0	33.7MiB/s
s3_transfer_9714009_10.log	08_17_21_R941_HG02735_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_10.csv	0	73.3MiB/s
s3_transfer_9714009_110.log	02_22_23_R1041_HG02818_3_dorado0.7.2_sup4.1.0_5mCG_5hmCG.bam	./manifest_9714009_110.csv	0	87.7MiB/s
s3_transfer_9714009_111.log	09_27_2022_R941_GM19043_4_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_111.csv	0	42.4MiB/s
s3_transfer_9714009_112.log	06_14_22_R941_HG02109_CIR_25FRA_2_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_112.csv	0	82.4MiB/s
s3_transfer_9714009_113.log	12_08_21_R941_HG02083_2_Guppy_6.4.6_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_113.csv	0	73.2MiB/s
s3_transfer_9714009_114.log	08_10_21_R941_HG03927_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_114.csv	0	79.8MiB/s
s3_transfer_9714009_115.log	08_29_23_R1041_HPRC_HG00126_3_dorado0.6.0_sup4.3.0_5mCG_5hmCG.bam	./manifest_9714009_115.csv	0	89.0MiB/s
s3_transfer_9714009_116.log	HG01928_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_116.csv	0	69.6MiB/s
s3_transfer_9714009_117.log	HG03579_PAK43785_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_117.csv	0	89.1MiB/s
s3_transfer_9714009_118.log	05_24_22_R941_GM19468_3_Guppy_6.5.7_450bps_modbases_5mc_cg_sup_prom_pass.bam	./manifest_9714009_118.csv	0	87.5MiB/s
