log	filename	manifest	status	throughput
s3_transfer_10006226_142.log	HG00621.m64136_200711_235843.dc.q20.fastq.gz	./manifest_10006226_142.csv	0	27.9MiB/s
s3_transfer_10006226_143.log	HG00621.m64136_200713_062514.dc.q20.fastq.gz	./manifest_10006226_143.csv	0	13.6MiB/s
s3_transfer_10006226_144.log	HG00621.m64136_200714_125149.dc.q20.fastq.gz	./manifest_10006226_144.csv	0	47.3MiB/s
s3_transfer_10006226_145.log	HG02723.m64043_191221_024136.dc.q20.fastq.gz	./manifest_10006226_145.csv	0	20.1MiB/s
s3_transfer_10006226_146.log	HG02723.m64043_191223_180311.dc.q20.fastq.gz	./manifest_10006226_146.csv	0	12.8MiB/s
s3_transfer_10006226_147.log	HG02723.m64043_191225_001554.dc.q20.fastq.gz	./manifest_10006226_147.csv	0	17.3MiB/s
s3_transfer_10006226_148.log	HG02723.m64043_191226_064057.dc.q20.fastq.gz	./manifest_10006226_148.csv	0	27.5MiB/s
s3_transfer_10006226_149.log	HG02615.m64136_210528_171842.dc.q20.fastq.gz	./manifest_10006226_149.csv	0	36.0MiB/s
s3_transfer_10006226_14.log	NA19468.m64330e_220801_170711.dc.q20.fastq.gz	./manifest_10006226_14.csv	0	19.5MiB/s
s3_transfer_10006226_150.log	HG02615.m64136_210530_004827.dc.q20.fastq.gz	./manifest_10006226_150.csv	0	16.4MiB/s
s3_transfer_10006226_151.log	HG02615.m64136_210531_083342.dc.q20.fastq.gz	./manifest_10006226_151.csv	0	35.5MiB/s
s3_transfer_10006226_152.log	HG02647.m54329U_210604_200442.dc.q20.fastq.gz	./manifest_10006226_152.csv	0	32.3MiB/s
s3_transfer_10006226_153.log	HG02647.m64076_210527_231639.dc.q20.fastq.gz	./manifest_10006226_153.csv	0	35.0MiB/s
s3_transfer_10006226_154.log	HG02647.m64076_210530_192034.dc.q20.fastq.gz	./manifest_10006226_154.csv	0	22.7MiB/s
s3_transfer_10006226_155.log	HG02647.m64076_210601_061523.dc.q20.fastq.gz	./manifest_10006226_155.csv	0	20.0MiB/s
s3_transfer_10006226_156.log	HG01993.m64043_210620_041711.dc.q20.fastq.gz	./manifest_10006226_156.csv	0	20.7MiB/s
s3_transfer_10006226_157.log	HG01993.m64043_210622_163331.dc.q20.fastq.gz	./manifest_10006226_157.csv	0	20.7MiB/s
s3_transfer_10006226_158.log	HG01993.m64043_210624_032817.dc.q20.fastq.gz	./manifest_10006226_158.csv	0	27.9MiB/s
s3_transfer_10006226_159.log	HG01192.m64043_211124_192057.dc.q20.fastq.gz	./manifest_10006226_159.csv	0	33.8MiB/s
s3_transfer_10006226_15.log	HG01940.m64330e_220415_164034.dc.q20.fastq.gz	./manifest_10006226_15.csv	0	28.2MiB/s
s3_transfer_10006226_160.log	HG01192.m64043_211126_061537.dc.q20.fastq.gz	./manifest_10006226_160.csv	0	13.9MiB/s
s3_transfer_10006226_161.log	HG01192.m64043_211127_171224.dc.q20.fastq.gz	./manifest_10006226_161.csv	0	22.0MiB/s
s3_transfer_10006226_162.log	HG02145.m64043_200924_175630.dc.q20.fastq.gz	./manifest_10006226_162.csv	0	46.8MiB/s
s3_transfer_10006226_163.log	HG02145.m64043_200928_195132.dc.q20.fastq.gz	./manifest_10006226_163.csv	0	18.8MiB/s
s3_transfer_10006226_164.log	HG02145.m64043_200930_020605.dc.q20.fastq.gz	./manifest_10006226_164.csv	0	38.8MiB/s
