log	filename	manifest	status	throughput
s3_transfer_9641371_106.log	m54329U_200130_064539.ccs.bam	./manifest_9641371_106.csv	0	53.6MiB/s
s3_transfer_9641371_107.log	m84046_231202_110908_s4.hifi_reads.bc2056.bam	./manifest_9641371_107.csv	0	57.8MiB/s
s3_transfer_9641371_108.log	m54329U_200610_234222.ccs.bam	./manifest_9641371_108.csv	0	51.2MiB/s
s3_transfer_9641371_109.log	m54329U_200612_200443.ccs.bam	./manifest_9641371_109.csv	0	87.4MiB/s
s3_transfer_9641371_10.log	m64076_210602_215048.hifi_reads.bam	./manifest_9641371_10.csv	0	78.6MiB/s
s3_transfer_9641371_110.log	m54329U_200614_021746.ccs.bam	./manifest_9641371_110.csv	0	87.4MiB/s
s3_transfer_9641371_111.log	m54329U_200615_084313.ccs.bam	./manifest_9641371_111.csv	0	59.5MiB/s
s3_transfer_9641371_112.log	m84046_230711_233802_s3.hifi_reads.default.bam	./manifest_9641371_112.csv	0	60.1MiB/s
s3_transfer_9641371_113.log	m54329U_200319_002813.ccs.bam	./manifest_9641371_113.csv	0	87.8MiB/s
s3_transfer_9641371_114.log	m64076_200313_161705.ccs.bam	./manifest_9641371_114.csv	0	87.2MiB/s
s3_transfer_9641371_115.log	m64076_200317_041201.ccs.bam	./manifest_9641371_115.csv	0	59.7MiB/s
s3_transfer_9641371_116.log	m64076_200318_103811.ccs.bam	./manifest_9641371_116.csv	0	87.6MiB/s
s3_transfer_9641371_117.log	m84046_230628_182559_s4.hifi_reads.bc2064.bam	./manifest_9641371_117.csv	0	68.0MiB/s
s3_transfer_9641371_118.log	m64076_200125_231256.ccs.bam	./manifest_9641371_118.csv	0	85.1MiB/s
s3_transfer_9641371_119.log	m64076_200127_180545.ccs.bam	./manifest_9641371_119.csv	0	32.5MiB/s
s3_transfer_9641371_11.log	m54329U_210715_074913.hifi_reads.bam	./manifest_9641371_11.csv	0	49.0MiB/s
s3_transfer_9641371_120.log	m64076_200129_001835.ccs.bam	./manifest_9641371_120.csv	0	31.6MiB/s
s3_transfer_9641371_121.log	m64076_200130_064345.ccs.bam	./manifest_9641371_121.csv	0	45.1MiB/s
s3_transfer_9641371_122.log	m64330e_220915_165522.5mc.hifi_reads.bam	./manifest_9641371_122.csv	0	87.7MiB/s
s3_transfer_9641371_123.log	m54306Ue_220920_181216.5mc.hifi_reads.bam	./manifest_9641371_123.csv	0	87.3MiB/s
s3_transfer_9641371_124.log	m54306Ue_220922_132103.5mc.hifi_reads.bam	./manifest_9641371_124.csv	0	53.7MiB/s
s3_transfer_9641371_125.log	m54306Ue_220927_182256.demultiplex.bc1018--bc1018.5mc.hifi_reads.bam	./manifest_9641371_125.csv	0	48.3MiB/s
s3_transfer_9641371_126.log	m54329U_220816_182601-bc2045.5mc.hifi_reads.bam	./manifest_9641371_126.csv	0	86.3MiB/s
s3_transfer_9641371_127.log	m54329U_220903_190900-bc2053.5mc.hifi_reads.bam	./manifest_9641371_127.csv	0	87.5MiB/s
s3_transfer_9641371_128.log	m54329U_220905_144015-bc2053.5mc.hifi_reads.bam	./manifest_9641371_128.csv	0	90.0MiB/s
s3_transfer_9641371_129.log	m54329U_220907_100858-bc2053.5mc.hifi_reads.bam	./manifest_9641371_129.csv	0	89.9MiB/s
s3_transfer_9641371_12.log	m64136_220708_205611-bc1016.5mc.hifi_reads.bam	./manifest_9641371_12.csv	0	88.5MiB/s
s3_transfer_9641371_130.log	m64457e_220902_165459-bc2053.5mc.hifi_reads.bam	./manifest_9641371_130.csv	0	88.6MiB/s
s3_transfer_9641371_131.log	m64457e_220906_104717-bc2053.5mc.hifi_reads.bam	./manifest_9641371_131.csv	0	87.5MiB/s
s3_transfer_9641371_132.log	m64457e_220904_135104-bc2053.5mc.hifi_reads.bam	./manifest_9641371_132.csv	0	50.9MiB/s
s3_transfer_9641371_133.log	m84046_230617_040148_s2.hifi_reads.bc2053.bam	./manifest_9641371_133.csv	0	63.8MiB/s
s3_transfer_9641371_134.log	m54329U_211225_070909-bc1012.5mc.hifi_reads.bam	./manifest_9641371_134.csv	0	60.0MiB/s
s3_transfer_9641371_135.log	m54329U_220109_103416-bc1012.5mc.hifi_reads.bam	./manifest_9641371_135.csv	0	71.1MiB/s
s3_transfer_9641371_136.log	m54329U_220117_123334-bc1012.5mc.hifi_reads.bam	./manifest_9641371_136.csv	0	60.2MiB/s
s3_transfer_9641371_137.log	m64076_220216_013707-bc1012.5mc.hifi_reads.bam	./manifest_9641371_137.csv	0	88.9MiB/s
s3_transfer_9641371_138.log	m64076_221001_041132-bc1012.5mc.hifi_reads.bam	./manifest_9641371_138.csv	0	86.6MiB/s
s3_transfer_9641371_139.log	m84046_230707_202610_s3.hifi_reads.bc2058.bam	./manifest_9641371_139.csv	0	86.7MiB/s
s3_transfer_9641371_13.log	m64136_220712_144943-bc1016.5mc.hifi_reads.bam	./manifest_9641371_13.csv	0	88.4MiB/s
s3_transfer_9641371_140.log	m84046_230711_233802_s3.hifi_reads.bc2058.bam	./manifest_9641371_140.csv	0	83.9MiB/s
s3_transfer_9641371_141.log	m84046_230701_003325_s1.hifi_reads.bc2058.bam	./manifest_9641371_141.csv	0	83.4MiB/s
s3_transfer_9641371_142.log	m54329U_211109_002533-bc1002.5mc.hifi_reads.bam	./manifest_9641371_142.csv	0	85.3MiB/s
s3_transfer_9641371_143.log	m54329U_211204_121716-bc1002.5mc.hifi_reads.bam	./manifest_9641371_143.csv	0	60.2MiB/s
s3_transfer_9641371_144.log	m54329U_211209_115915-bc1002.5mc.hifi_reads.bam	./manifest_9641371_144.csv	0	85.2MiB/s
s3_transfer_9641371_145.log	m64076_211209_102926-bc1002.5mc.hifi_reads.bam	./manifest_9641371_145.csv	0	77.7MiB/s
s3_transfer_9641371_146.log	m84046_230703_225306_s4.hifi_reads.bc2062.bam	./manifest_9641371_146.csv	0	60.1MiB/s
s3_transfer_9641371_147.log	m84046_230628_175536_s3.hifi_reads.bc2062.bam	./manifest_9641371_147.csv	0	74.4MiB/s
s3_transfer_9641371_148.log	m84046_230711_230656_s2.hifi_reads.bc2062.bam	./manifest_9641371_148.csv	0	81.3MiB/s
s3_transfer_9641371_149.log	m84046_230707_192442_s1.hifi_reads.bc2062.bam	./manifest_9641371_149.csv	0	81.4MiB/s
s3_transfer_9641371_14.log	m64043_220728_173215-bc1016.5mc.hifi_reads.bam	./manifest_9641371_14.csv	0	80.6MiB/s
s3_transfer_9641371_150.log	m54329U_220107_233847-bc1016.5mc.hifi_reads.bam	./manifest_9641371_150.csv	0	68.0MiB/s
s3_transfer_9641371_151.log	m54329U_220114_143904-bc1016.5mc.hifi_reads.bam	./manifest_9641371_151.csv	0	73.6MiB/s
s3_transfer_9641371_152.log	m54329U_220116_013607-bc1016.5mc.hifi_reads.bam	./manifest_9641371_152.csv	0	64.2MiB/s
s3_transfer_9641371_153.log	m64076_220216_013707-bc1016.5mc.hifi_reads.bam	./manifest_9641371_153.csv	0	48.5MiB/s
s3_transfer_9641371_154.log	m84046_230602_213334_s2.hifi_reads.bc1016.bam	./manifest_9641371_154.csv	0	70.2MiB/s
s3_transfer_9641371_155.log	m84046_230720_182350_s1.hifi_reads.bc2004.bam	./manifest_9641371_155.csv	0	82.6MiB/s
s3_transfer_9641371_156.log	m84046_230519_231055_s2.hifi_reads.bc1016.bam	./manifest_9641371_156.csv	0	85.5MiB/s
s3_transfer_9641371_157.log	m84046_230623_210640_s1.hifi_reads.bc1016.bam	./manifest_9641371_157.csv	0	85.4MiB/s
s3_transfer_9641371_158.log	m84081_231222_081401_s1.hifi_reads.bc2027.bam	./manifest_9641371_158.csv	0	84.8MiB/s
s3_transfer_9641371_159.log	m84081_231222_101332_s2.hifi_reads.bc2027.bam	./manifest_9641371_159.csv	0	80.3MiB/s
s3_transfer_9641371_15.log	m64136_220710_175208-bc1016.5mc.hifi_reads.bam	./manifest_9641371_15.csv	0	55.1MiB/s
s3_transfer_9641371_160.log	m84081_231222_121301_s3.hifi_reads.bc2027.bam	./manifest_9641371_160.csv	0	85.4MiB/s
s3_transfer_9641371_161.log	m84081_231222_141231_s4.hifi_reads.bc2027.bam	./manifest_9641371_161.csv	0	85.7MiB/s
s3_transfer_9641371_162.log	m64136_200710_174522.ccs.bam	./manifest_9641371_162.csv	0	84.4MiB/s
s3_transfer_9641371_163.log	m64136_200711_235843.ccs.bam	./manifest_9641371_163.csv	0	86.7MiB/s
s3_transfer_9641371_164.log	m64136_200713_062514.ccs.bam	./manifest_9641371_164.csv	0	78.5MiB/s
s3_transfer_9641371_165.log	m64136_200714_125149.ccs.bam	./manifest_9641371_165.csv	0	68.7MiB/s
s3_transfer_9641371_166.log	m84081_231222_081401_s1.hifi_reads.bc2028.bam	./manifest_9641371_166.csv	0	56.8MiB/s
s3_transfer_9641371_167.log	m84081_231222_101332_s2.hifi_reads.bc2028.bam	./manifest_9641371_167.csv	0	75.1MiB/s
s3_transfer_9641371_168.log	m84081_231222_121301_s3.hifi_reads.bc2028.bam	./manifest_9641371_168.csv	0	80.9MiB/s
s3_transfer_9641371_169.log	m84081_231222_141231_s4.hifi_reads.bc2028.bam	./manifest_9641371_169.csv	0	66.3MiB/s
s3_transfer_9641371_16.log	m84081_230623_212309_s3.hifi_reads.bc1016.bam	./manifest_9641371_16.csv	0	86.1MiB/s
s3_transfer_9641371_170.log	m64043_200716_182902.ccs.bam	./manifest_9641371_170.csv	0	86.2MiB/s
s3_transfer_9641371_171.log	m64043_200718_004213.ccs.bam	./manifest_9641371_171.csv	0	76.9MiB/s
s3_transfer_9641371_172.log	m64043_200719_070806.ccs.bam	./manifest_9641371_172.csv	0	70.8MiB/s
s3_transfer_9641371_173.log	m64043_200720_133355.ccs.bam	./manifest_9641371_173.csv	0	84.7MiB/s
s3_transfer_9641371_174.log	m84081_231222_081401_s1.hifi_reads.bc2024.bam	./manifest_9641371_174.csv	0	84.7MiB/s
