entity:qc_result_sample_id	cram	freemix	mean_coverage	median_absolute_deviation	median_insert_size	pct_10x	pct_20x	pct_30x	pct_chimeras	percent_duplication	q20_bases	qc_result_sample	qc_status	read1_pf_mismatch_rate	read2_pf_mismatch_rate
NA19009	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19009/analysis/NA19009.final.cram	4.8100000000000004e-05	38.284273999999996	69	438	0.993129	0.9838459999999999	0.879318	0.006506999999999999	0.079513	122030000000.0	NA19009	PASS	0.0044659999999999995	0.005342
NA19010	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19010/analysis/NA19010.final.cram	5.18e-09	35.022259999999996	65	402	0.992949	0.979248	0.773004	0.0065780000000000005	0.092048	115718000000.0	NA19010	PASS	0.005007999999999999	0.004866
NA19011	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19011/analysis/NA19011.final.cram	8.37e-06	34.493994	68	433	0.992284	0.976793	0.748575	0.0064730000000000005	0.07775900000000001	111180000000.0	NA19011	PASS	0.004099	0.00464
NA19012	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19012/analysis/NA19012.final.cram	5.1e-09	37.437946999999994	65	423	0.9935719999999999	0.984209	0.859326	0.0072900000000000005	0.098497	122324000000.0	NA19012	PASS	0.003981	0.004377000000000001
NA19017	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19017/analysis/NA19017.final.cram	3.6e-06	37.57077	69	437	0.992405	0.982405	0.863116	0.008506999999999999	0.080586	121977000000.0	NA19017	PASS	0.004342	0.005296
NA19019	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19019/analysis/NA19019.final.cram	8.75e-09	36.126659000000004	70	437	0.99224	0.980664	0.817351	0.008214	0.076559	116865000000.0	NA19019	PASS	0.004372999999999999	0.004879
NA19020	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19020/analysis/NA19020.final.cram	8.54e-06	33.281560999999996	69	442	0.991533	0.9722200000000001	0.695264	0.006753	0.10783	109689000000.0	NA19020	PASS	0.00421	0.004622
NA19023	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19023/analysis/NA19023.final.cram	6.55e-06	33.544034	67	430	0.992132	0.973808	0.708019	0.007829000000000001	0.11196600000000001	112246000000.0	NA19023	PASS	0.0047729999999999995	0.006043
NA19024	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19024/analysis/NA19024.final.cram	1.1699999999999999e-08	33.205615	63	405	0.991506	0.972476	0.6913239999999999	0.0068969999999999995	0.110747	112071000000.0	NA19024	PASS	0.004212	0.004444
NA19025	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19025/analysis/NA19025.final.cram	3.8200000000000005e-09	34.231308	67	431	0.9920399999999999	0.9765889999999999	0.743417	0.008783	0.10481199999999999	112899000000.0	NA19025	PASS	0.004017	0.0047810000000000005
