	entity:qc_result_sample_id	cram	freemix	mean_coverage	median_absolute_deviation	median_insert_size	pct_10x	pct_20x	pct_30x	pct_chimeras	percent_duplication	q20_bases	qc_result_sample	qc_status	read1_pf_mismatch_rate	read2_pf_mismatch_rate
748	HG01700	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG01700/analysis/HG01700.final.cram	1.49e-05	31.864225	70	445	0.992942	0.965357	0.6104189999999999	0.006793	0.1058369999999999	105558000000.0	HG01700	PASS	0.004106	0.004409
1035	HG02140	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02140/analysis/HG02140.final.cram	2.67e-09	33.799724	61	400	0.99285	0.975377	0.715784	0.006548	0.103353	113606000000.0	HG02140	PASS	0.003573	0.0039109999999999
1140	HG02337	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02337/analysis/HG02337.final.cram	0.000866954	34.070547999999995	66	420	0.992191	0.974816	0.718009	0.006004	0.105315	114777000000.0	HG02337	PASS	0.0041259999999999	0.005013
1150	HG02364	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02364/analysis/HG02364.final.cram	1.8e-09	34.382821	68	440	0.993192	0.977346	0.7497699999999999	0.006894	0.0871649999999999	110888000000.0	HG02364	PASS	0.004575	0.004901
1153	HG02373	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02373/analysis/HG02373.final.cram	2.73e-06	49.445895	64	409	0.994068	0.989457	0.977651	0.008787	0.0829309999999999	159892000000.0	HG02373	PASS	0.003622	0.0039299999999999
1199	HG02470	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02470/analysis/HG02470.final.cram	4.7e-05	32.927322	67	436	0.991948	0.969701	0.6677420000000001	0.0066159999999999	0.108968	108962000000.0	HG02470	PASS	0.004146	0.004404
1215	HG02497	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02497/analysis/HG02497.final.cram	9.54e-06	33.333189000000004	67	429	0.992344	0.972493	0.691263	0.006246	0.1014549999999999	110945000000.0	HG02497	PASS	0.0038729999999999	0.00471
1232	HG02541	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02541/analysis/HG02541.final.cram	1.44e-08	33.039392	68	432	0.992732	0.972231	0.677341	0.0074659999999999	0.1137859999999999	110098000000.0	HG02541	PASS	0.0045049999999999	0.004629
1260	HG02589	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02589/analysis/HG02589.final.cram	1.65e-07	44.858563	67	432	0.993648	0.988123	0.963382	0.007427	0.080955	146505000000.0	HG02589	PASS	0.003984	0.004899
1262	HG02594	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02594/analysis/HG02594.final.cram	0.000255006	31.246753	68	434	0.991141	0.958875	0.570693	0.007501	0.111688	103998000000.0	HG02594	PASS	0.004236	0.004497
