	entity:qc_result_sample_id	cram	freemix	mean_coverage	median_absolute_deviation	median_insert_size	pct_10x	pct_20x	pct_30x	pct_chimeras	percent_duplication	q20_bases	qc_result_sample	qc_status	read1_pf_mismatch_rate	read2_pf_mismatch_rate
2556	NA19000	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19000/analysis/NA19000.final.cram	2.07e-05	35.393071	67	433	0.992881	0.979824	0.783192	0.00742	0.0875929999999999	116503000000.0	NA19000	PASS	0.003958	0.004532
2578	NA19031	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19031/analysis/NA19031.final.cram	2.1e-06	54.937504	68	431	0.994134	0.990302	0.983269	0.008518	0.092044	177474000000.0	NA19031	PASS	0.004751	0.00499
2579	NA19035	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19035/analysis/NA19035.final.cram	7.16e-09	36.896529	67	433	0.992581	0.982217	0.8411799999999999	0.007449	0.083079	118381000000.0	NA19035	PASS	0.003947	0.004907
2587	NA19055	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19055/analysis/NA19055.final.cram	9.71e-06	41.846117	69	439	0.994009	0.987791	0.940156	0.006222	0.068061	132428000000.0	NA19055	PASS	0.004072	0.004765
2594	NA19063	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19063/analysis/NA19063.final.cram	1.25e-09	40.735998	70	442	0.993523	0.985934	0.920857	0.007488	0.082746	130901000000.0	NA19063	PASS	0.004427	0.005222
2607	NA19079	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19079/analysis/NA19079.final.cram	4.19e-06	48.645488	66	424	0.99477	0.990416	0.978921	0.00612	0.1057119999999999	159745000000.0	NA19079	PASS	0.004273	0.006064
2640	NA19118	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19118/analysis/NA19118.final.cram	7.59e-06	37.464291	66	428	0.99257	0.98282	0.857454	0.008466	0.073202	120989000000.0	NA19118	PASS	0.004005	0.004778
2722	NA19307	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19307/analysis/NA19307.final.cram	4.63e-06	34.902377	68	436	0.992159	0.977512	0.761297	0.007783	0.072491	111281000000.0	NA19307	PASS	0.004294	0.005291
2727	NA19314	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19314/analysis/NA19314.final.cram	7.27e-09	38.957289	66	430	0.993131	0.984985	0.8926729999999999	0.007368	0.154178	138573000000.0	NA19314	PASS	0.004318	0.005231
2731	NA19318	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19318/analysis/NA19318.final.cram	9.05e-07	36.76038	63	413	0.992869	0.982025	0.8271790000000001	0.009762	0.08201	118582000000.0	NA19318	PASS	0.003941	0.004538
2734	NA19321	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19321/analysis/NA19321.final.cram	1.14e-05	32.843467	61	402	0.991662	0.969857	0.662431	0.0065959999999999	0.122432	113191000000.0	NA19321	PASS	0.003646	0.00421
2748	NA19360	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19360/analysis/NA19360.final.cram	2.63e-06	32.180869	67	426	0.991811	0.96586	0.629674	0.0075439999999999	0.116846	108468000000.0	NA19360	PASS	0.004141	0.004843
2751	NA19375	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19375/analysis/NA19375.final.cram	9.6e-09	34.101564	69	444	0.992427	0.975919	0.73377	0.006625	0.083506	109419000000.0	NA19375	PASS	0.004188	0.004799
2764	NA19395	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19395/analysis/NA19395.final.cram	1.32e-08	35.854137	71	446	0.992346	0.980156	0.8022739999999999	0.00746	0.092812	115855000000.0	NA19395	PASS	0.004059	0.004775
2778	NA19438	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19438/analysis/NA19438.final.cram	7.51e-06	34.444575	66	425	0.991984	0.977737	0.752185	0.006703	0.0839169999999999	112719000000.0	NA19438	PASS	0.003919	0.0043
2779	NA19439	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19439/analysis/NA19439.final.cram	3.18e-09	33.865807000000004	69	436	0.992359	0.974805	0.715001	0.00662	0.077315	109473000000.0	NA19439	PASS	0.004024	0.004501
2782	NA19445	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19445/analysis/NA19445.final.cram	2.03e-09	32.050996999999995	65	425	0.991674	0.964981	0.614772	0.006044	0.110818	108382000000.0	NA19445	PASS	0.003558	0.004337
2784	NA19448	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19448/analysis/NA19448.final.cram	4.04e-09	33.413456	70	446	0.992047	0.97211	0.694365	0.006545	0.080996	106911000000.0	NA19448	PASS	0.004161	0.00516
2792	NA19461	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19461/analysis/NA19461.final.cram	4.77e-06	34.045126	64	413	0.992342	0.975647	0.721965	0.006703	0.1019409999999999	112407000000.0	NA19461	PASS	0.003766	0.0043289999999999
2811	NA19655	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19655/analysis/NA19655.final.cram	0.0138911	34.780753000000004	68	435	0.992962	0.97772	0.754954	0.006743	0.08537	111348000000.0	NA19655	PASS	0.003987	0.004371
2814	NA19658	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19658/analysis/NA19658.final.cram	1.26e-07	32.639835	60	398	0.993006	0.97159	0.653273	0.005727	0.106857	108562000000.0	NA19658	PASS	0.003498	0.004175
2829	NA19679	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19679/analysis/NA19679.final.cram	2.02e-09	33.151531	67	437	0.993043	0.972867	0.6927449999999999	0.006486	0.096343	107325000000.0	NA19679	PASS	0.004308	0.005019
2883	NA19762	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19762/analysis/NA19762.final.cram	2.62e-05	42.721828	63	418	0.994234	0.988221	0.94438	0.007388	0.108313	141671000000.0	NA19762	PASS	0.003881	0.004268
2925	NA19916	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19916/analysis/NA19916.final.cram	1.78e-06	41.385507	62	400	0.99309	0.98625	0.936453	0.006768	0.107119	137551000000.0	NA19916	PASS	0.004439	0.004378
2926	NA19917	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19917/analysis/NA19917.final.cram	7.74e-06	32.872989000000004	67	437	0.991805	0.969569	0.672605	0.005723	0.090181	107647000000.0	NA19917	PASS	0.004459	0.0050009999999999
2932	NA19923	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA19923/analysis/NA19923.final.cram	4.89e-09	34.73941	68	438	0.992875	0.978188	0.760367	0.006569	0.093499	116759000000.0	NA19923	PASS	0.003846	0.004674
2950	NA20294	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20294/analysis/NA20294.final.cram	4.88e-06	33.6913	67	438	0.992453	0.973686	0.712345	0.007106	0.0903679999999999	110377000000.0	NA20294	PASS	0.004472	0.005021
2956	NA20318	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20318/analysis/NA20318.final.cram	9.75e-09	36.312271	67	441	0.993822	0.981574	0.822681	0.006278	0.082523	115921000000.0	NA20318	PASS	0.004695	0.0052049999999999
2963	NA20342	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20342/analysis/NA20342.final.cram	5.73e-09	33.400684000000005	67	432	0.992822	0.973728	0.692025	0.008138	0.107885	110473000000.0	NA20342	PASS	0.0041789999999999	0.00445
2972	NA20362	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20362/analysis/NA20362.final.cram	1.54e-08	35.979971	68	434	0.993633	0.980782	0.803466	0.008009	0.086698	115838000000.0	NA20362	PASS	0.00417	0.004782
2973	NA20412	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20412/analysis/NA20412.final.cram	1.9600000000000003e-09	35.047215	67	430	0.992765	0.978914	0.772059	0.0065379999999999	0.091097	115577000000.0	NA20412	PASS	0.003826	0.005189
3019	NA20588	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20588/analysis/NA20588.final.cram	1.77e-05	34.062706	70	443	0.992914	0.975215	0.723144	0.0073019999999999	0.107832	112115000000.0	NA20588	PASS	0.003907	0.004917
3025	NA20756	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20756/analysis/NA20756.final.cram	1.46e-05	32.309339	67	429	0.992666	0.965981	0.630071	0.006995	0.111827	108235000000.0	NA20756	PASS	0.003645	0.004416
3030	NA20761	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20761/analysis/NA20761.final.cram	2.44e-06	33.083857	67	433	0.993019	0.973485	0.67795	0.006775	0.089457	109821000000.0	NA20761	PASS	0.003714	0.004081
3053	NA20796	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20796/analysis/NA20796.final.cram	1.73e-08	34.407127	67	435	0.993363	0.977562	0.743574	0.0072629999999999	0.093102	111226000000.0	NA20796	PASS	0.004006	0.004759
3057	NA20800	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20800/analysis/NA20800.final.cram	1.9e-09	35.403853000000005	68	436	0.992924	0.98038	0.78884	0.006856	0.09799	117748000000.0	NA20800	PASS	0.003743	0.004582
3058	NA20801	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20801/analysis/NA20801.final.cram	1.24e-05	34.466921	66	426	0.993393	0.97807	0.743812	0.0074719999999999	0.083026	111511000000.0	NA20801	PASS	0.003961	0.005012
3097	NA20866	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA20866/analysis/NA20866.final.cram	1.09e-08	35.575565999999995	68	425	0.993302	0.981723	0.799814	0.007723	0.085085	114667000000.0	NA20866	PASS	0.003751	0.004335
3162	NA21115	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA21115/analysis/NA21115.final.cram	2.69e-05	39.710908	68	433	0.993444	0.98577	0.911031	0.006059	0.0786549999999999	126713000000.0	NA21115	PASS	0.004325	0.00465
3177	NA21133	gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_NA21133/analysis/NA21133.final.cram	4.1e-06	43.767469	70	445	0.993801	0.988039	0.955192	0.005795	0.088517	140814000000.0	NA21133	PASS	0.004246	0.005014
