gs_path	bytes	gigabytes	cost	price_tier
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02140/analysis/HG02140.final.cram	15680674360	14.603766	$1.75	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02337/analysis/HG02337.final.cram	17364436439	16.171891	$1.94	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02364/analysis/HG02364.final.cram	16637572863	15.494947	$1.86	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02373/analysis/HG02373.final.cram	21866705352	20.364956	$2.44	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02470/analysis/HG02470.final.cram	15451361465	14.390201	$1.73	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02497/analysis/HG02497.final.cram	15809060957	14.723335	$1.77	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02541/analysis/HG02541.final.cram	16113939173	15.007275	$1.80	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02589/analysis/HG02589.final.cram	21579456265	20.097434	$2.41	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02594/analysis/HG02594.final.cram	15040605800	14.007655	$1.68	tier-1
gs://fc-56ac46ea-efc4-4683-b6d5-6d95bed41c5e/CCDG_13607/Project_CCDG_13607_B01_GRM_WGS.cram.2019-02-06/Sample_HG02642/analysis/HG02642.final.cram	16149814265	15.040686	$1.80	tier-1
