	title	type	umbrella-bioproject	Description	Accession	Sample	Organism
0	Assembly of NA18871	Umbrella	PRJNA730822	NA18871 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021663	NA18871	Homo sapiens
0	Assembly of NA20850	Umbrella	PRJNA730822	NA20850 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021664	NA20850	Homo sapiens
0	Assembly of NA19835	Umbrella	PRJNA730822	NA19835 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021665	NA19835	Homo sapiens
0	Assembly of HG00253	Umbrella	PRJNA730822	HG00253 assembly generated by the Human Pangenome Reference Consortium	SAMN41021666	HG00253	Homo sapiens
0	Assembly of HG00235	Umbrella	PRJNA730822	HG00235 assembly generated by the Human Pangenome Reference Consortium	SAMN41021667	HG00235	Homo sapiens
0	Assembly of HG03369	Umbrella	PRJNA730822	HG03369 assembly generated by the Human Pangenome Reference Consortium	SAMN41021668	HG03369	Homo sapiens
0	Assembly of NA18565	Umbrella	PRJNA730822	NA18565 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021669	NA18565	Homo sapiens
0	Assembly of NA20818	Umbrella	PRJNA730822	NA20818 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021670	NA20818	Homo sapiens
0	Assembly of NA20809	Umbrella	PRJNA730822	NA20809 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021671	NA20809	Homo sapiens
0	Assembly of NA21102	Umbrella	PRJNA730822	NA21102 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021672	NA21102	Homo sapiens
0	Assembly of HG03457	Umbrella	PRJNA730822	HG03457 assembly generated by the Human Pangenome Reference Consortium	SAMN41021673	HG03457	Homo sapiens
0	Assembly of HG01028	Umbrella	PRJNA730822	HG01028 assembly generated by the Human Pangenome Reference Consortium	SAMN41021674	HG01028	Homo sapiens
0	Assembly of HG03778	Umbrella	PRJNA730822	HG03778 assembly generated by the Human Pangenome Reference Consortium	SAMN41021675	HG03778	Homo sapiens
0	Assembly of HG00258	Umbrella	PRJNA730822	HG00258 assembly generated by the Human Pangenome Reference Consortium	SAMN41021676	HG00258	Homo sapiens
0	Assembly of HG03136	Umbrella	PRJNA730822	HG03136 assembly generated by the Human Pangenome Reference Consortium	SAMN41021677	HG03136	Homo sapiens
0	Assembly of HG00662	Umbrella	PRJNA730822	HG00662 assembly generated by the Human Pangenome Reference Consortium	SAMN41021678	HG00662	Homo sapiens
0	Assembly of HG01167	Umbrella	PRJNA730822	HG01167 assembly generated by the Human Pangenome Reference Consortium	SAMN41021679	HG01167	Homo sapiens
0	Assembly of NA19131	Umbrella	PRJNA730822	NA19131 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021680	NA19131	Homo sapiens
0	Assembly of HG04153	Umbrella	PRJNA730822	HG04153 assembly generated by the Human Pangenome Reference Consortium	SAMN41021681	HG04153	Homo sapiens
0	Assembly of NA19099	Umbrella	PRJNA730822	NA19099 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021682	NA19099	Homo sapiens
0	Assembly of HG03343	Umbrella	PRJNA730822	HG03343 assembly generated by the Human Pangenome Reference Consortium	SAMN41021683	HG03343	Homo sapiens
0	Assembly of HG01894	Umbrella	PRJNA730822	HG01894 assembly generated by the Human Pangenome Reference Consortium	SAMN41021684	HG01894	Homo sapiens
0	Assembly of NA19834	Umbrella	PRJNA730822	NA19834 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021685	NA19834	Homo sapiens
0	Assembly of HG03103	Umbrella	PRJNA730822	HG03103 assembly generated by the Human Pangenome Reference Consortium	SAMN41021686	HG03103	Homo sapiens
0	Assembly of HG01048	Umbrella	PRJNA730822	HG01048 assembly generated by the Human Pangenome Reference Consortium	SAMN41021687	HG01048	Homo sapiens
0	Assembly of NA19190	Umbrella	PRJNA730822	NA19190 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021688	NA19190	Homo sapiens
0	Assembly of HG04225	Umbrella	PRJNA730822	HG04225 assembly generated by the Human Pangenome Reference Consortium	SAMN41021689	HG04225	Homo sapiens
0	Assembly of NA19012	Umbrella	PRJNA730822	NA19012 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021690	NA19012	Homo sapiens
0	Assembly of HG02624	Umbrella	PRJNA730822	HG02624 assembly generated by the Human Pangenome Reference Consortium	SAMN41021691	HG02624	Homo sapiens
0	Assembly of HG03672	Umbrella	PRJNA730822	HG03672 assembly generated by the Human Pangenome Reference Consortium	SAMN41021692	HG03672	Homo sapiens
0	Assembly of HG03372	Umbrella	PRJNA730822	HG03372 assembly generated by the Human Pangenome Reference Consortium	SAMN41021693	HG03372	Homo sapiens
0	Assembly of HG03108	Umbrella	PRJNA730822	HG03108 assembly generated by the Human Pangenome Reference Consortium	SAMN41021694	HG03108	Homo sapiens
0	Assembly of NA19703	Umbrella	PRJNA730822	NA19703 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021695	NA19703	Homo sapiens
0	Assembly of HG00106	Umbrella	PRJNA730822	HG00106 assembly generated by the Human Pangenome Reference Consortium	SAMN41021696	HG00106	Homo sapiens
0	Assembly of HG00117	Umbrella	PRJNA730822	HG00117 assembly generated by the Human Pangenome Reference Consortium	SAMN41021697	HG00117	Homo sapiens
0	Assembly of HG01798	Umbrella	PRJNA730822	HG01798 assembly generated by the Human Pangenome Reference Consortium	SAMN41021698	HG01798	Homo sapiens
0	Assembly of HG03919	Umbrella	PRJNA730822	HG03919 assembly generated by the Human Pangenome Reference Consortium	SAMN41021699	HG03919	Homo sapiens
0	Assembly of HG03388	Umbrella	PRJNA730822	HG03388 assembly generated by the Human Pangenome Reference Consortium	SAMN41021700	HG03388	Homo sapiens
0	Assembly of NA19042	Umbrella	PRJNA730822	NA19042 assembly generated by the Human Pangenome Reference Consortium.	SAMN41021701	NA19042	Homo sapiens
0	Assembly of HG00701	Umbrella	PRJNA730822	HG00701 assembly generated by the Human Pangenome Reference Consortium	SAMN41021702	HG00701	Homo sapiens
0	Assembly of HG03072	Umbrella	PRJNA730822	HG03072 assembly generated by the Human Pangenome Reference Consortium	SAMN41021703	HG03072	Homo sapiens
0	Assembly of HG03445	Umbrella	PRJNA730822	HG03445 assembly generated by the Human Pangenome Reference Consortium	SAMN41021704	HG03445	Homo sapiens
