title	type	Description	Sample	Organism
Assembly of NA18976	Umbrella	NA18976 assembly generated by the Human Pangenome Reference Consortium.	NA18976	Homo sapiens
Assembly of NA20870	Umbrella	NA20870 assembly generated by the Human Pangenome Reference Consortium.	NA20870	Homo sapiens
Assembly of NA21110	Umbrella	NA21110 assembly generated by the Human Pangenome Reference Consortium.	NA21110	Homo sapiens
Assembly of HG03874	Umbrella	HG03874 assembly generated by the Human Pangenome Reference Consortium.	HG03874	Homo sapiens
Assembly of NA18508	Umbrella	NA18508 assembly generated by the Human Pangenome Reference Consortium.	NA18508	Homo sapiens
Assembly of NA21093	Umbrella	NA21093 assembly generated by the Human Pangenome Reference Consortium.	NA21093	Homo sapiens
Assembly of HG03611	Umbrella	HG03611 assembly generated by the Human Pangenome Reference Consortium.	HG03611	Homo sapiens
Assembly of NA21106	Umbrella	NA21106 assembly generated by the Human Pangenome Reference Consortium.	NA21106	Homo sapiens
Assembly of NA20503	Umbrella	NA20503 assembly generated by the Human Pangenome Reference Consortium.	NA20503	Homo sapiens
Assembly of HG03270	Umbrella	HG03270 assembly generated by the Human Pangenome Reference Consortium.	HG03270	Homo sapiens
Assembly of HG00320	Umbrella	HG00320 assembly generated by the Human Pangenome Reference Consortium.	HG00320	Homo sapiens
Assembly of HG01786	Umbrella	HG01786 assembly generated by the Human Pangenome Reference Consortium.	HG01786	Homo sapiens
Assembly of HG00146	Umbrella	HG00146 assembly generated by the Human Pangenome Reference Consortium.	HG00146	Homo sapiens
Assembly of HG00232	Umbrella	HG00232 assembly generated by the Human Pangenome Reference Consortium.	HG00232	Homo sapiens
Assembly of HG00321	Umbrella	HG00321 assembly generated by the Human Pangenome Reference Consortium.	HG00321	Homo sapiens
Assembly of HG00126	Umbrella	HG00126 assembly generated by the Human Pangenome Reference Consortium.	HG00126	Homo sapiens
Assembly of HG00133	Umbrella	HG00133 assembly generated by the Human Pangenome Reference Consortium.	HG00133	Homo sapiens
Assembly of HG00290	Umbrella	HG00290 assembly generated by the Human Pangenome Reference Consortium.	HG00290	Homo sapiens
Assembly of NA19443	Umbrella	NA19443 assembly generated by the Human Pangenome Reference Consortium.	NA19443	Homo sapiens
Assembly of HG00128	Umbrella	HG00128 assembly generated by the Human Pangenome Reference Consortium.	HG00128	Homo sapiens
Assembly of NA19036	Umbrella	NA19036 assembly generated by the Human Pangenome Reference Consortium.	NA19036	Homo sapiens
Assembly of NA18505	Umbrella	NA18505 assembly generated by the Human Pangenome Reference Consortium.	NA18505	Homo sapiens
Assembly of HG00243	Umbrella	HG00243 assembly generated by the Human Pangenome Reference Consortium.	HG00243	Homo sapiens
Assembly of HG03583	Umbrella	HG03583 assembly generated by the Human Pangenome Reference Consortium.	HG03583	Homo sapiens
Assembly of HG00329	Umbrella	HG00329 assembly generated by the Human Pangenome Reference Consortium.	HG00329	Homo sapiens
Assembly of HG03784	Umbrella	HG03784 assembly generated by the Human Pangenome Reference Consortium.	HG03784	Homo sapiens
Assembly of NA20806	Umbrella	NA20806 assembly generated by the Human Pangenome Reference Consortium.	NA20806	Homo sapiens
Assembly of NA21144	Umbrella	NA21144 assembly generated by the Human Pangenome Reference Consortium.	NA21144	Homo sapiens
Assembly of NA20827	Umbrella	NA20827 assembly generated by the Human Pangenome Reference Consortium.	NA20827	Homo sapiens
Assembly of HG03521	Umbrella	HG03521 assembly generated by the Human Pangenome Reference Consortium.	HG03521	Homo sapiens
Assembly of NA20762	Umbrella	NA20762 assembly generated by the Human Pangenome Reference Consortium.	NA20762	Homo sapiens
Assembly of HG00344	Umbrella	HG00344 assembly generated by the Human Pangenome Reference Consortium.	HG00344	Homo sapiens
Assembly of HG00350	Umbrella	HG00350 assembly generated by the Human Pangenome Reference Consortium.	HG00350	Homo sapiens
Assembly of NA20357	Umbrella	NA20357 assembly generated by the Human Pangenome Reference Consortium.	NA20357	Homo sapiens
Assembly of HG03572	Umbrella	HG03572 assembly generated by the Human Pangenome Reference Consortium.	HG03572	Homo sapiens
Assembly of HG02583	Umbrella	HG02583 assembly generated by the Human Pangenome Reference Consortium.	HG02583	Homo sapiens
Assembly of NA20287	Umbrella	NA20287 assembly generated by the Human Pangenome Reference Consortium.	NA20287	Homo sapiens
Assembly of HG00272	Umbrella	HG00272 assembly generated by the Human Pangenome Reference Consortium.	HG00272	Homo sapiens
Assembly of HG00097	Umbrella	HG00097 assembly generated by the Human Pangenome Reference Consortium.	HG00097	Homo sapiens
Assembly of NA18879	Umbrella	NA18879 assembly generated by the Human Pangenome Reference Consortium.	NA18879	Homo sapiens
Assembly of HG01766	Umbrella	HG01766 assembly generated by the Human Pangenome Reference Consortium.	HG01766	Homo sapiens
Assembly of NA18871	Umbrella	NA18871 assembly generated by the Human Pangenome Reference Consortium.	NA18871	Homo sapiens
Assembly of NA20850	Umbrella	NA20850 assembly generated by the Human Pangenome Reference Consortium.	NA20850	Homo sapiens
Assembly of NA19835	Umbrella	NA19835 assembly generated by the Human Pangenome Reference Consortium.	NA19835	Homo sapiens
Assembly of HG00253	Umbrella	HG00253 assembly generated by the Human Pangenome Reference Consortium.	HG00253	Homo sapiens
Assembly of HG00235	Umbrella	HG00235 assembly generated by the Human Pangenome Reference Consortium.	HG00235	Homo sapiens
